"country";"iso3c";"year";"ptype";"programme"
"Chile";"CHL";"2002";"lpi";"Chile Qualifies (Chile Califica) (2002-2009)"
"Chile";"CHL";"2005";"lpi";"Employment Support Programme Chile Solidario (Programa de Apoyo al Empleo Sistema Chile Solidario) (2005 - )"
"Chile";"CHL";"2009";"lpi";"I Work (Yo Trabajo) (2009- )"
"Chile";"CHL";"2006";"lpi";"Indigenous Micro-Entrepreneurship (Former Generation of Urban Indigenous Micro-Entrepreneurship Program) (2006- )"
"Chile";"CHL";"1999";"lpi";"Job Skills Equalization Programme (Programa Nivelación de Competencias Laborales (PNCL))  (1999-2008 )"
"Chile";"CHL";"2015";"lpi";"Juvenile Justice - Labour Mediation for Sanctioned Youth  (PIL) (2015 - )"
"Chile";"CHL";"2001";"lpi";"Labour Hiring Bonus Programme (Programa de bonificación a la contratación de la mano de obra) (2001-2010)"
"Chile";"CHL";"2005";"lpi";"Labour skills development (Desarrollo de Competencias Laborales)  (2005)"
"Chile";"CHL";"2014";"lpi";"More Able (Más Capaz) (2014-2019)"
"Chile";"CHL";"2011";"lpi";"Programme 4 to 7 (2011 - )"
"Chile";"CHL";"2019";"lpi";"Reinvent Yourself programme (Reinvéntate) (2019 - )"
"Chile";"CHL";"1992";"lpi";"Rural Women (Mujeres Rurales) (1992 - )"
"Chile";"CHL";"2019";"lpi";"Support for the inclusion of people with disabilities in the labour market (2019 - )"
"Chile";"CHL";"1997";"lpi";"Training for Work (Formación para el Trabajo) (Ex Training for Trades) (1997- )"
"Chile";"CHL";"2016";"lpi";"Transit to Independent Life Programme (Programa Tránsito a la Vida Independiente) (2016-)"
"Chile";"CHL";"2015";"lpi";"Women Entrepreneurship (2015 - )"
"Chile";"CHL";"2007";"lpi";"Women head of household (Mujeres Jefas de Hogar)(2007- )"
"Chile";"CHL";"2015";"lpi";"Women's Economic Autonomy (2015 - )"
"Chile";"CHL";"2009";"lpi";"Women's Work Grant  (Bono al Trabajo de la Mujer) (2009- )"
"Chile";"CHL";"2002";"lpi";"Yo Emprendo Semilla (Ex Microenterprise Support Programme -PAME)  (Programa de Apoyo al Microemprendimiento) (2002- )"
"Chile";"CHL";"2009";"lpi";"Youth Employment Subsidy (Subsidio al Empleo Joven)  (2009)"
"Colombia";"COL";"2020";"lpi";"Employment Without Borders programme (Empléate Sin Fronteras) (2020 - )"
"Colombia";"COL";"2000";"lpi";"Employment-in-action programme (Programa Empleo en Acción) (2000-2004)"
"Colombia";"COL";"2002";"lpi";"Emprender Fund (2002 - )"
"Colombia";"COL";"2016";"lpi";"Families on their Land (Familias en su Tierra)  (2016 - )"
"Colombia";"COL";"2015";"lpi";"Integral Rural Interventions (Intervenciones Rurales Integrales) (IRACA) (2015 - )"
"Colombia";"COL";"2016";"lpi";"My Business (Mi Negocio) (2016 - 2020)"
"Colombia";"COL";"2019";"lpi";"Sacúdete Strategy (2019 - )"
"Colombia";"COL";"2011";"lpi";"Social Prosperity Income Programme (Ingreso para la Prosperidad Social) (2011-2014)"
"Colombia";"COL";"2021";"lpi";"There is Work (Camello Sí Hay) (2021 - 2023)"
"Colombia";"COL";"2007";"lpi";"Women Savers in Action (Mujeres Ahorradoras en Acción) (2007-2014)"
"Colombia";"COL";"2003";"lpi";"Young Rural Entrepreneurs Programme (Jóvenes Rurales Emprendedores) (2003-2015 )"
